fecha_datos,codigo,fecha,serie,valor
12/11/2021,350120,23/03/2020,Urg_cv,1
12/11/2021,350120,24/03/2020,Urg_cv,1
12/11/2021,350120,25/03/2020,Urg_cv,1
12/11/2021,350120,26/03/2020,Urg_cv,0
12/11/2021,350120,27/03/2020,Urg_cv,0
12/11/2021,350120,28/03/2020,Urg_cv,0
12/11/2021,350120,29/03/2020,Urg_cv,0
12/11/2021,350120,30/03/2020,Urg_cv,0
12/11/2021,350120,31/03/2020,Urg_cv,0
12/11/2021,350120,01/04/2020,Urg_cv,0
12/11/2021,350120,02/04/2020,Urg_cv,0
12/11/2021,350120,03/04/2020,Urg_cv,0
12/11/2021,350120,04/04/2020,Urg_cv,0
12/11/2021,350120,05/04/2020,Urg_cv,0
12/11/2021,350120,06/04/2020,Urg_cv,0
12/11/2021,350120,07/04/2020,Urg_cv,0
12/11/2021,350120,08/04/2020,Urg_cv,0
12/11/2021,350120,09/04/2020,Urg_cv,0
12/11/2021,350120,10/04/2020,Urg_cv,0
12/11/2021,350120,11/04/2020,Urg_cv,0
12/11/2021,350120,12/04/2020,Urg_cv,0
12/11/2021,350120,13/04/2020,Urg_cv,0
12/11/2021,350120,14/04/2020,Urg_cv,0
12/11/2021,350120,15/04/2020,Urg_cv,0
12/11/2021,350120,16/04/2020,Urg_cv,0
12/11/2021,350120,17/04/2020,Urg_cv,0
12/11/2021,350120,18/04/2020,Urg_cv,0
12/11/2021,350120,19/04/2020,Urg_cv,0
12/11/2021,350120,20/04/2020,Urg_cv,0
12/11/2021,350120,21/04/2020,Urg_cv,0
12/11/2021,350120,22/04/2020,Urg_cv,0
12/11/2021,350120,23/04/2020,Urg_cv,0
12/11/2021,350120,24/04/2020,Urg_cv,0
12/11/2021,350120,25/04/2020,Urg_cv,0
12/11/2021,350120,26/04/2020,Urg_cv,0
12/11/2021,350120,27/04/2020,Urg_cv,0
12/11/2021,350120,28/04/2020,Urg_cv,0
12/11/2021,350120,29/04/2020,Urg_cv,0
12/11/2021,350120,30/04/2020,Urg_cv,0
12/11/2021,350120,01/05/2020,Urg_cv,0
12/11/2021,350120,02/05/2020,Urg_cv,0
12/11/2021,350120,03/05/2020,Urg_cv,0
12/11/2021,350120,04/05/2020,Urg_cv,0
12/11/2021,350120,05/05/2020,Urg_cv,0
12/11/2021,350120,06/05/2020,Urg_cv,0
12/11/2021,350120,07/05/2020,Urg_cv,0
12/11/2021,350120,08/05/2020,Urg_cv,0
12/11/2021,350120,09/05/2020,Urg_cv,0
12/11/2021,350120,10/05/2020,Urg_cv,0
12/11/2021,350120,11/05/2020,Urg_cv,0
12/11/2021,350120,12/05/2020,Urg_cv,0
12/11/2021,350120,13/05/2020,Urg_cv,0
12/11/2021,350120,14/05/2020,Urg_cv,0
12/11/2021,350120,15/05/2020,Urg_cv,0
12/11/2021,350120,16/05/2020,Urg_cv,0
12/11/2021,350120,17/05/2020,Urg_cv,0
12/11/2021,350120,18/05/2020,Urg_cv,0
12/11/2021,350120,19/05/2020,Urg_cv,0
12/11/2021,350120,20/05/2020,Urg_cv,0
12/11/2021,350120,21/05/2020,Urg_cv,0
12/11/2021,350120,22/05/2020,Urg_cv,0
12/11/2021,350120,23/05/2020,Urg_cv,0
12/11/2021,350120,24/05/2020,Urg_cv,0
12/11/2021,350120,25/05/2020,Urg_cv,0
12/11/2021,350120,26/05/2020,Urg_cv,1
12/11/2021,350120,27/05/2020,Urg_cv,0
12/11/2021,350120,28/05/2020,Urg_cv,0
12/11/2021,350120,29/05/2020,Urg_cv,0
12/11/2021,350120,30/05/2020,Urg_cv,0
12/11/2021,350120,31/05/2020,Urg_cv,0
12/11/2021,350120,01/06/2020,Urg_cv,0
12/11/2021,350120,02/06/2020,Urg_cv,0
12/11/2021,350120,03/06/2020,Urg_cv,1
12/11/2021,350120,04/06/2020,Urg_cv,0
12/11/2021,350120,05/06/2020,Urg_cv,0
12/11/2021,350120,06/06/2020,Urg_cv,0
12/11/2021,350120,07/06/2020,Urg_cv,0
12/11/2021,350120,08/06/2020,Urg_cv,1
12/11/2021,350120,09/06/2020,Urg_cv,0
12/11/2021,350120,10/06/2020,Urg_cv,0
12/11/2021,350120,11/06/2020,Urg_cv,0
12/11/2021,350120,12/06/2020,Urg_cv,0
12/11/2021,350120,13/06/2020,Urg_cv,0
12/11/2021,350120,14/06/2020,Urg_cv,0
12/11/2021,350120,15/06/2020,Urg_cv,3
12/11/2021,350120,16/06/2020,Urg_cv,0
12/11/2021,350120,17/06/2020,Urg_cv,0
12/11/2021,350120,18/06/2020,Urg_cv,0
12/11/2021,350120,19/06/2020,Urg_cv,1
12/11/2021,350120,20/06/2020,Urg_cv,0
12/11/2021,350120,21/06/2020,Urg_cv,0
12/11/2021,350120,22/06/2020,Urg_cv,1
12/11/2021,350120,23/06/2020,Urg_cv,0
12/11/2021,350120,24/06/2020,Urg_cv,0
12/11/2021,350120,25/06/2020,Urg_cv,0
12/11/2021,350120,26/06/2020,Urg_cv,0
12/11/2021,350120,27/06/2020,Urg_cv,0
12/11/2021,350120,28/06/2020,Urg_cv,0
12/11/2021,350120,29/06/2020,Urg_cv,0
12/11/2021,350120,30/06/2020,Urg_cv,0
12/11/2021,350120,01/07/2020,Urg_cv,0
12/11/2021,350120,02/07/2020,Urg_cv,0
12/11/2021,350120,03/07/2020,Urg_cv,0
12/11/2021,350120,04/07/2020,Urg_cv,0
12/11/2021,350120,05/07/2020,Urg_cv,1
12/11/2021,350120,06/07/2020,Urg_cv,0
12/11/2021,350120,07/07/2020,Urg_cv,1
12/11/2021,350120,08/07/2020,Urg_cv,0
12/11/2021,350120,09/07/2020,Urg_cv,1
12/11/2021,350120,10/07/2020,Urg_cv,0
12/11/2021,350120,11/07/2020,Urg_cv,0
12/11/2021,350120,12/07/2020,Urg_cv,0
12/11/2021,350120,13/07/2020,Urg_cv,0
12/11/2021,350120,14/07/2020,Urg_cv,0
12/11/2021,350120,15/07/2020,Urg_cv,0
12/11/2021,350120,16/07/2020,Urg_cv,0
12/11/2021,350120,17/07/2020,Urg_cv,0
12/11/2021,350120,18/07/2020,Urg_cv,0
12/11/2021,350120,19/07/2020,Urg_cv,1
12/11/2021,350120,20/07/2020,Urg_cv,0
12/11/2021,350120,21/07/2020,Urg_cv,0
12/11/2021,350120,22/07/2020,Urg_cv,1
12/11/2021,350120,23/07/2020,Urg_cv,1
12/11/2021,350120,24/07/2020,Urg_cv,0
12/11/2021,350120,25/07/2020,Urg_cv,0
12/11/2021,350120,26/07/2020,Urg_cv,0
12/11/2021,350120,27/07/2020,Urg_cv,0
12/11/2021,350120,28/07/2020,Urg_cv,0
12/11/2021,350120,29/07/2020,Urg_cv,1
12/11/2021,350120,30/07/2020,Urg_cv,0
12/11/2021,350120,31/07/2020,Urg_cv,0
12/11/2021,350120,01/08/2020,Urg_cv,0
12/11/2021,350120,02/08/2020,Urg_cv,2
12/11/2021,350120,03/08/2020,Urg_cv,0
12/11/2021,350120,04/08/2020,Urg_cv,1
12/11/2021,350120,05/08/2020,Urg_cv,0
12/11/2021,350120,06/08/2020,Urg_cv,1
12/11/2021,350120,07/08/2020,Urg_cv,0
12/11/2021,350120,08/08/2020,Urg_cv,0
12/11/2021,350120,09/08/2020,Urg_cv,1
12/11/2021,350120,10/08/2020,Urg_cv,0
12/11/2021,350120,11/08/2020,Urg_cv,0
12/11/2021,350120,12/08/2020,Urg_cv,0
12/11/2021,350120,13/08/2020,Urg_cv,0
12/11/2021,350120,14/08/2020,Urg_cv,0
12/11/2021,350120,15/08/2020,Urg_cv,1
12/11/2021,350120,16/08/2020,Urg_cv,0
12/11/2021,350120,17/08/2020,Urg_cv,0
12/11/2021,350120,18/08/2020,Urg_cv,1
